categorie,description,detail,annee,nombre_csq
pays,pays_de_naissance,autres_asie,2018,0
pays,pays_de_naissance,autres_océanie,2018,0
pays,pays_de_naissance,autriche,2018,7
pays,pays_de_naissance,azerbaïdjan,2018,20
pays,pays_de_naissance,bahamas,2018,10
pays,pays_de_naissance,bahreïn,2018,14
pays,pays_de_naissance,bangladesh,2018,355
pays,pays_de_naissance,barbade,2018,10
pays,pays_de_naissance,belgique,2018,240
pays,pays_de_naissance,belize,2018,0
pays,pays_de_naissance,bermudes,2018,0
pays,pays_de_naissance,bhoutan,2018,0
pays,pays_de_naissance,bolivie,2018,16
pays,pays_de_naissance,bosnie-herzégovine,2018,14
pays,pays_de_naissance,botswana,2018,5
pays,pays_de_naissance,brunéi_darussalam,2018,0
pays,pays_de_naissance,brésil,2018,780
pays,pays_de_naissance,bulgarie,2018,38
pays,pays_de_naissance,burkina_faso,2018,202
pays,pays_de_naissance,burundi,2018,532
pays,pays_de_naissance,bélarus,2018,32
pays,pays_de_naissance,bénin,2018,287
pays,pays_de_naissance,cambodge,2018,85
pays,pays_de_naissance,cameroun,2018,1842
pays,pays_de_naissance,canada,2018,23
