id;Caracteristiques ;Description;Details;n-2016;n-2017;n-2018;n-2019;n-2020;n-2021;n-2022;n-2023
227;Pays ;Pays de naissance;Singapour;24;34;26;17;20;14;19;12
228;Pays ;Pays de naissance;Slovaquie;12;12;12;*;10;9;8;6
229;Pays ;Pays de naissance;Slovénie;11;*;*;*;*;*;*;*
230;Pays ;Pays de naissance;Somalie;12;13;*;9;11;5;12;6
231;Pays ;Pays de naissance;Soudan;33;59;45;60;62;66;39;67
232;Pays ;Pays de naissance;Sri Lanka;350;137;109;89;120;120;190;142
233;Pays ;Pays de naissance;Suède;17;20;15;7;12;23;8;19
234;Pays ;Pays de naissance;Suisse;76;100;88;88;98;137;62;59
235;Pays ;Pays de naissance;Suriname;*;*;*;*;*;*;*;*
236;Pays ;Pays de naissance;Swaziland;*;*;*;*;*;*;*;*
237;Pays ;Pays de naissance;Syrie;6 124;3 531;3 601;2 108;758;406;846;953
238;Pays ;Pays de naissance;Tadjikistan;38;10;8;7;8;7;67;12
239;Pays ;Pays de naissance;Taïwan;123;147;137;91;80;91;33;61
240;Pays ;Pays de naissance;Tanzanie;57;127;81;77;46;63;173;78
241;Pays ;Pays de naissance;Tchad;136;130;85;177;176;264;234;182
242;Pays ;Pays de naissance;Tchécoslovaquie;*;*;*;*;*;*;*;*
243;Pays ;Pays de naissance;Thaïlande;60;92;70;65;58;58;64;52
244;Pays ;Pays de naissance;Tibet;7;*;*;*;*;*;*;*
245;Pays ;Pays de naissance;Timor-Leste;*;*;*;*;*;*;*;*
246;Pays ;Pays de naissance;Togo;351;550;255;169;240;380;528;779
247;Pays ;Pays de naissance;Tonga;*;*;*;*;*;*;*;*
248;Pays ;Pays de naissance;Trinité-et-Tobago;23;16;27;9;10;12;9;15
249;Pays ;Pays de naissance;Tunisie;1 827;2 198;2 139;1 236;1 513;2 661;2 114;4 130
250;Pays ;Pays de naissance;Turkménistan;5;9;*;*;*;*;*;*
251;Pays ;Pays de naissance;Turquie;223;291;380;301;211;220;176;875
252;Pays ;Pays de naissance;Ukraine;598;195;241;107;141;148;175;148
253;Pays ;Pays de naissance;Union soviétique;59;94;76;64;84;64;62;41
254;Pays ;Pays de naissance;Uruguay;5;7;17;12;15;28;6;7
255;Pays ;Pays de naissance;Vanuatu;*;*;*;*;*;*;*;*
256;Pays ;Pays de naissance;Venezuela;504;360;501;686;633;391;458;481
257;Pays ;Pays de naissance;Vietnam;550;415;413;392;490;451;408;454
258;Pays ;Pays de naissance;Wallis-et-Futuna;*;*;*;*;*;*;*;*
259;Pays ;Pays de naissance;Yémen;37;36;80;120;73;85;50;85
260;Pays ;Pays de naissance;Yougoslavie;5;5;*;*;*;*;*;*
261;Pays ;Pays de naissance;z - Non disponible;814;31;13;6;*;8;*;17
262;Pays ;Pays de naissance;Zambie;12;8;5;9;5;7;*;12
263;Pays ;Pays de naissance;Zimbabwe;27;22;20;17;18;46;42;48
